Algorithm,Hyperparameters,Dataset,accuracy,precision,recall,fscore
naive_bayes (discretized),CategoricalNB alpha=0.5,dev,0.5046364080039043,0.4100161994810884,0.4302204538500141,0.41699379647828605
naive_bayes (discretized),CategoricalNB alpha=1.0,dev,0.5051244509516838,0.4083475197918915,0.42281569300848715,0.4127307972764216
naive_bayes (mixed),MixedNB default,dev,0.47388970229380184,0.40933712418186863,0.4581856130868472,0.4210974368281651
naive_bayes,MixedNB default,test,0.47279824347401805,0.40650217578883013,0.45372818710519836,0.41986951258328575
